label,component1,component2,component3,component4,notes
v1,,,,,"placeholder - fill in real coordinates"
v2,,,,,"placeholder - fill in real coordinates"
v3,,,,,"placeholder - fill in real coordinates"
v4,,,,,"placeholder - fill in real coordinates"
v5,,,,,"placeholder - fill in real coordinates"
v6,,,,,"placeholder - fill in real coordinates"
v7,,,,,"placeholder - fill in real coordinates"
v8,,,,,"placeholder - fill in real coordinates"
v9,,,,,"placeholder - fill in real coordinates"
v10,,,,,"placeholder - fill in real coordinates"
v11,,,,,"placeholder - fill in real coordinates"
v12,,,,,"placeholder - fill in real coordinates"
v13,,,,,"placeholder - fill in real coordinates"
v14,,,,,"placeholder - fill in real coordinates"
v15,,,,,"placeholder - fill in real coordinates"
v16,,,,,"placeholder - fill in real coordinates"
v17,,,,,"placeholder - fill in real coordinates"
v18,,,,,"placeholder - fill in real coordinates"
