label,component1,component2,component3,component4,component5,component6,component7,component8,notes
v1,,,,,,,,,placeholder - fill in real coordinates
v2,,,,,,,,,placeholder - fill in real coordinates
v3,,,,,,,,,placeholder - fill in real coordinates
v4,,,,,,,,,placeholder - fill in real coordinates
v5,,,,,,,,,placeholder - fill in real coordinates
v6,,,,,,,,,placeholder - fill in real coordinates
v7,,,,,,,,,placeholder - fill in real coordinates
v8,,,,,,,,,placeholder - fill in real coordinates
v9,,,,,,,,,placeholder - fill in real coordinates
v10,,,,,,,,,placeholder - fill in real coordinates
v11,,,,,,,,,placeholder - fill in real coordinates
v12,,,,,,,,,placeholder - fill in real coordinates
v13,,,,,,,,,placeholder - fill in real coordinates
v14,,,,,,,,,placeholder - fill in real coordinates
v15,,,,,,,,,placeholder - fill in real coordinates
v16,,,,,,,,,placeholder - fill in real coordinates
v17,,,,,,,,,placeholder - fill in real coordinates
v18,,,,,,,,,placeholder - fill in real coordinates
v19,,,,,,,,,placeholder - fill in real coordinates
v20,,,,,,,,,placeholder - fill in real coordinates
v21,,,,,,,,,placeholder - fill in real coordinates
v22,,,,,,,,,placeholder - fill in real coordinates
v23,,,,,,,,,placeholder - fill in real coordinates
v24,,,,,,,,,placeholder - fill in real coordinates
v25,,,,,,,,,placeholder - fill in real coordinates
v26,,,,,,,,,placeholder - fill in real coordinates
v27,,,,,,,,,placeholder - fill in real coordinates
v28,,,,,,,,,placeholder - fill in real coordinates
v29,,,,,,,,,placeholder - fill in real coordinates
v30,,,,,,,,,placeholder - fill in real coordinates
v31,,,,,,,,,placeholder - fill in real coordinates
v32,,,,,,,,,placeholder - fill in real coordinates
v33,,,,,,,,,placeholder - fill in real coordinates
v34,,,,,,,,,placeholder - fill in real coordinates
v35,,,,,,,,,placeholder - fill in real coordinates
v36,,,,,,,,,placeholder - fill in real coordinates
v37,,,,,,,,,placeholder - fill in real coordinates
v38,,,,,,,,,placeholder - fill in real coordinates
v39,,,,,,,,,placeholder - fill in real coordinates
v40,,,,,,,,,placeholder - fill in real coordinates
